antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=high'}),0.19337474120082815,0.3490683229813665,0.0968944099378882,0.5010706638115632,1.4354515457946917,1.0,0.029393413319959358,1.3046570522218963,0.3760793450218501,0.21747211895910779,0.23351504650440524,0.3893253674929702
"frozenset({'danceability_discretize=medium_danceability', 'mode_discretize=major', 'acousticness_discretize=low_acousticness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=high'}),0.1587991718426501,0.3490683229813665,0.0824016563146998,0.5189048239895698,1.4865422893651377,1.0,0.026969895708756096,1.3530205861064823,0.3890842348587634,0.19367396593673966,0.2609129452511521,0.3774832542249154
"frozenset({'danceability_discretize=medium_danceability', 'loudness_discretize=high_loudness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness'})",frozenset({'popularity_label=high'}),0.15010351966873706,0.3490683229813665,0.0782608695652174,0.5213793103448277,1.4936311203828692,1.0,0.025864485680850792,1.3600157516959923,0.3888598882508748,0.18593212001967538,0.264714398525928,0.37278929930052773
"frozenset({'danceability_discretize=medium_danceability', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=high'}),0.1484472049689441,0.3490683229813665,0.07722567287784679,0.5202231520223153,1.4903189942276291,1.0,0.025407455988066305,1.3567384082045357,0.3863562144224583,0.18374384236453203,0.26293823927092325,0.3707284206137674
"frozenset({'danceability_discretize=medium_danceability', 'loudness_discretize=high_loudness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=high'}),0.14078674948240166,0.3490683229813665,0.07349896480331262,0.5220588235294117,1.4955777684739373,1.0,0.024354770263492913,1.361949354992833,0.3856575598167316,0.17652909000497263,0.2657583071396496,0.36630817807550065
"frozenset({'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness'})",frozenset({'popularity_label=high'}),0.12815734989648034,0.3490683229813665,0.06645962732919254,0.518578352180937,1.4856070231517944,1.0,0.02172395612309195,1.3521030472299802,0.3749237089332122,0.16179435483870966,0.2604113998199508,0.354484905627835
"frozenset({'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness'})",frozenset({'popularity_label=high'}),0.12111801242236025,0.3490683229813665,0.06356107660455486,0.5247863247863247,1.5033914286583323,1.0,0.02128261512544525,1.369766298762232,0.38098088189592644,0.15631364562118122,0.2699484569713576,0.35343705325911723
"frozenset({'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=high'}),0.12132505175983437,0.3490683229813665,0.06314699792960662,0.5204778156996587,1.49104854675525,1.0,0.020796265576173756,1.357458942110033,0.37480415939185113,0.15505846466700557,0.263329468775239,0.3506896789055826
"frozenset({'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'loudness_discretize=high_loudness', 'mode_discretize=major', 'instrumentalness_discretize=low_instrumentalness', 'acousticness_discretize=low_acousticness', 'speechiness_discretize=low_speechiness'})",frozenset({'popularity_label=high'}),0.11511387163561076,0.3490683229813665,0.060455486542443065,0.525179856115108,1.5045188048849178,1.0,0.020272880418708124,1.3709015622059102,0.37895910923647924,0.14974358974358976,0.2705530232302708,0.34918542034699646
"frozenset({'danceability_discretize=medium_danceability', 'tempo_discretize=fast_tempo', 'acousticness_discretize=low_acousticness', 'mode_discretize=major'})",frozenset({'popularity_label=high'}),0.09813664596273292,0.3490683229813665,0.04927536231884058,0.5021097046413503,1.4384281574245088,1.0,0.015018967889613315,1.307379724181493,0.3379632844873487,0.12382934443288243,0.23511128289367744,0.32163610973467277
